PLAYER,TEAM,Period,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Cedric Coward,MEM,Q1,6.8,2.4,1.0,2.4,42.1,0.3,0.8,33.3,0.1,0.3,50.0,0.1,2.0,2.1,0.9,0.6,0.0,0.0,0.3,5.6,0.0,0.0,-0.4
Mouhamed Gueye,ATL,Q1,4.7,2.4,0.8,1.4,54.5,0.3,0.5,50.0,0.6,0.8,83.3,0.1,0.8,0.9,0.3,0.1,0.1,0.1,0.5,4.4,0.0,0.0,-0.1
Ayo Dosunmu,MIN,Q1,6.4,2.3,0.9,2.2,40.0,0.3,0.7,50.0,0.2,0.2,100,0.1,1.0,1.1,1.0,0.6,0.3,0.0,0.2,5.6,0.0,0.0,-2.1
Gary Trent Jr.,MIL,Q1,4.5,2.3,0.8,1.5,55.6,0.7,1.3,50.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.2,0.2,0.0,4.0,0.0,0.0,-0.3
Jaden Ivey,CHI,Q1,6.1,2.3,0.9,2.4,36.4,0.3,1.2,27.3,0.2,0.2,100,0.0,0.9,0.9,0.9,0.6,0.1,0.1,0.2,4.8,0.0,0.0,-0.4
Mohamed Diawara,NYK,Q1,3.8,2.3,0.9,1.1,80.0,0.6,0.8,71.4,0.0,0.0,0.0,0.1,0.2,0.3,0.1,0.1,0.0,0.1,0.2,3.1,0.0,0.0,1.7
Thomas Bryant,CLE,Q1,4.0,2.3,0.7,1.5,44.4,0.3,0.8,40.0,0.7,0.7,100,0.7,0.5,1.2,0.2,0.3,0.0,0.5,0.5,5.2,0.0,0.0,0.5
Bub Carrington,WAS,Q1,7.6,2.3,0.8,2.1,38.1,0.5,1.3,38.5,0.2,0.2,100,0.2,0.5,0.7,1.2,0.7,0.1,0.0,0.2,4.5,0.0,0.0,-3.6
GG Jackson,MEM,Q1,6.1,2.3,0.9,2.0,45.0,0.3,0.8,37.5,0.2,0.4,50.0,0.2,0.8,1.0,0.8,0.0,0.2,0.3,0.5,6.2,0.0,0.0,1.6
Devin Carter,SAC,Q1,5.3,2.3,0.8,2.0,37.5,0.3,0.3,100,0.5,0.5,100,1.0,1.0,2.0,0.8,0.5,0.0,0.3,0.0,6.0,0.0,0.0,-3.3
Luke Kennard,LAL,Q1,6.1,2.3,0.8,1.4,54.5,0.4,0.8,50.0,0.4,0.4,100,0.3,0.6,0.9,0.5,0.1,0.3,0.3,0.1,5.4,0.0,0.0,-1.3
P.J. Washington,DAL,Q1,6.9,2.3,0.9,2.9,30.4,0.4,1.3,30.0,0.1,0.3,50.0,0.6,1.4,2.0,0.5,0.9,0.1,0.3,0.6,5.7,0.0,0.0,-4.4
Vince Williams Jr.,UTA,Q1,4.6,2.3,0.9,1.9,46.7,0.5,1.1,44.4,0.0,0.0,0.0,0.4,0.9,1.3,1.4,0.4,0.3,0.3,0.1,6.9,0.0,0.0,4.8
Cam Spencer,MEM,Q1,6.5,2.2,0.9,1.7,53.3,0.3,0.8,42.9,0.1,0.1,100,0.2,0.1,0.3,1.7,0.2,0.0,0.1,0.1,5.2,0.0,0.0,-1.4
Ausar Thompson,DET,Q1,7.9,2.2,1.0,2.0,50.0,0.0,0.0,0.0,0.2,0.2,100,0.5,1.0,1.5,1.3,0.4,0.7,0.4,0.6,8.9,0.0,0.0,2.4
