"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jaylen Clark","Min","*","G","24.3","53","13.4","12.6","9.6","59","0.627","99","0.525","71","0.296","0.491","0.521","3.8","1.9","0.6","0.7","0.2","0.3","5.7","4.4","6.3","4.9","116.1","107"
"","Ousmane Dieng","Okc","","F","22.7","27","10.9","14.9","8","6","1","42","0.476","49","0.367","0.516","0.534","3.7","1.6","1","0.1","0.3","0.3","5.3","4.7","6.3","6.6","114.5","106.8"
"","Moussa Cisse","Dal","*","C","23.4","30","12","13.5","24.1","56","0.482","69","0.609","0","0","0.609","0.593","3.7","4.5","0.2","0.3","1.1","0.7","8.2","3.9","8.4","5","118.6","99.3"
"","Yanic Konan Niederhauser","Lac","*","C","22.9","34","9","15.8","21","43","0.674","68","0.706","3","0","0.676","0.695","3.7","2.3","0.3","0.1","0.6","0.6","6","4","6.3","6.1","127.8","103.9"
"","Jericho Sims","Mil","*","C","27.3","39","15.7","9","32.1","23","0.652","78","0.821","0","0","0.821","0.811","3.7","4.3","0.8","0.2","0.2","0.9","7.9","4.5","8.7","5.9","133.2","108.3"
"","Jabari Walker","Phi","*","F","23.5","45","12.1","14.1","10.5","44","0.727","81","0.506","63","0.27","0.462","0.505","3.7","3.1","0.5","0.4","0.2","0.4","6.7","4.1","7.2","5.9","114.6","104.3"
"","Clint Capela","Hou","*","C","31.7","47","11.8","13.5","11.6","38","0.553","144","0.528","0","0","0.528","0.538","3.7","4.5","0.6","0.5","0.8","0.4","8.2","4.2","8.8","7.3","126.1","106.3"
"","Larry Nance Jr.","Cle","*","F-C","33.1","25","12.9","13.5","10.7","5","0.6","44","0.432","48","0.333","0.467","0.472","3.6","2.6","1","0.6","0.2","0.4","6.1","4.6","7.1","6.5","108","102.8"
"","Drew Timme","Lal","*","F","25.4","18","8.3","15.9","11.5","7","0.571","29","0.655","17","0.412","0.641","0.642","3.5","1.3","0.8","0.3","0","0.3","4.8","4.3","5.6","7.4","128.8","114.1"
"","Kelly Olynyk","San","*","F-C","34.8","30","9.5","16.3","18.5","30","0.667","41","0.707","38","0.237","0.538","0.569","3.5","1.9","1.2","0.4","0","0.6","5.4","4.7","6.6","8.4","116.7","101.4"
"","Charles Bassey","Mem","","C-F","25.3","2","15.3","14","10.9","3","0.333","8","0.375","0","0","0.375","0.376","3.5","7.5","1","0.5","0.5","0.5","11","4.5","12","7.8","112.1","97.9"
"","Rob Dillingham","Min","","G","21.1","35","9.3","23.9","20.3","20","0.75","108","0.324","33","0.364","0.376","0.404","3.5","1.2","1.7","0.5","0.1","1","4.6","5.1","6.3","8.3","84.8","105"
"","Dalen Terry","Chi","","F","23.6","34","11.1","14.6","17","17","0.529","56","0.464","46","0.413","0.534","0.539","3.5","1.9","1.3","0.6","0.3","0.6","5.4","4.7","6.6","7.4","109.4","111.8"
"","TyTy Washington Jr.","Lac","*","G","24.2","5","7.9","14.6","7.7","0","0","6","0.667","6","0.5","0.708","0.708","3.4","0.4","1.8","0.8","0.4","0.2","3.8","5.2","5.6","6.8","153","114.6"
"","Caleb Martin","Dal","*","F","30.4","46","14","12","18.4","35","0.629","99","0.475","38","0.368","0.496","0.518","3.4","2.5","1.6","0.7","0.2","0.7","5.9","5","7.5","6.8","107","106.4"
"","Carter Bryant","San","*","F","20.2","43","9.3","17.5","8.3","22","0.682","65","0.431","78","0.321","0.458","0.478","3.4","2","0.3","0.2","0.2","0.3","5.4","3.7","5.7","5.5","101.4","104.7"
"","Cam Christie","Lac","*","G","20.6","38","10","16.7","12.9","42","0.762","66","0.47","42","0.286","0.454","0.514","3.4","1.6","0.6","0.3","0.1","0.4","5","4","5.6","5.9","106.1","116"
"","Isaiah Stevens","Sac","*","G","25.3","3","14.3","10.7","21.2","4","1","6","0.5","1","0","0.429","0.571","3.3","1","3.3","1.7","0","0.7","4.3","6.7","7.7","6.2","131.5","118.5"
"","Koby Brea","Pho","*","G","23.3","3","5.2","15.9","0","2","1","1","1","4","0.5","0.8","0.85","3.3","0.7","0.7","0","0","0","4","4","4.7","9","183.1","121.5"
"","James Wiseman","Ind","*","C","24.9","4","14.6","11.5","32.9","2","0.5","10","0.6","0","0","0.6","0.597","3.3","2","0.8","0","0.3","1.3","5.3","4","6","4.8","99.1","107.2"
"","Kobe Bufkin","Lal","*","G","22.4","6","11.9","16.9","15.1","4","1","10","0.3","12","0.25","0.341","0.4","3.2","1.2","0.5","0.3","0.5","0.7","4.3","3.7","4.8","4.2","80.6","115.9"
"","Nick Richards","Pho","","C","28.2","28","9.1","18","26","28","0.679","71","0.493","0","0","0.493","0.534","3.2","3.3","0.3","0.1","0.5","0.9","6.4","3.5","6.7","6.5","101.2","99.5"
"","John Konchar","Mem","","G","29.9","30","14.5","8.7","16.4","13","0.615","32","0.75","39","0.333","0.613","0.619","3.2","3.1","1.3","1","0.4","0.5","6.2","4.5","7.6","6.5","126.5","109.1"
"","Kam Jones","Ind","*","G","24","18","11.9","13.4","12.1","4","0.5","33","0.576","25","0.2","0.457","0.46","3.1","1.1","1.5","0.2","0","0.4","4.1","4.6","5.6","5.8","102.2","118.9"
"","Mark Sears","Mil","*","G","24","7","3.7","34.8","23.1","8","0.75","5","0.4","8","0.5","0.615","0.666","3.1","0.3","0.3","0","0","0.6","3.4","3.4","3.7","7.1","0","0"
"","Keshad Johnson","Mia","*","F","24.6","21","7.6","18.7","13.6","17","0.765","34","0.471","23","0.304","0.465","0.512","3.1","1.9","0.1","0.2","0.2","0.4","5","3.2","5.1","4.4","103.3","105.7"
"","Chaz Lanier","Det","*","G","24.2","20","8.5","14.8","3.4","5","1","12","0.5","45","0.333","0.5","0.524","3.1","1","0.7","0.3","0","0.1","4.1","3.8","4.7","6.1","123.1","113.3"
"","Jamison Battle","Tor","*","F","24.8","39","8.5","14.1","13.3","9","0.667","38","0.632","53","0.415","0.626","0.632","3.1","1.4","0.4","0.1","0.1","0.4","4.5","3.5","4.9","5.7","115.8","109.4"
"","Lawson Lovering","Mem","*","C","22.8","1","17.6","9.1","31.1","2","0.5","2","0.5","0","0","0.5","0.521","3","4","0","2","0","1","7","3","7","0","101.9","97.4"
"","Buddy Boeheim","Okc","*","F","26.3","2","6.2","20.9","0","0","0","0","0","6","0.333","0.5","0.5","3","0","0","0","0","0","3","3","3","0","99.8","119.6"
"","Julian Phillips","Min","*","F","22.3","2","4.2","24.7","0","2","1","3","0.667","1","0","0.5","0.615","3","0","0","1","0","0","3","3","3","0","131.1","97"
"","Dalano Banton","Lac","*","F","26.3","2","4.9","23","20","0","0","4","0.75","0","0","0.75","0.75","3","0.5","1","0.5","0","0.5","3.5","4","4.5","9.3","134.9","121.1"
"","Tyus Jones","Dal","*","G","29.8","3","17","10.7","15.4","0","0","3","1","8","0.125","0.409","0.409","3","0.7","4.3","0.7","0","0.7","3.7","7.3","8","4.9","107.7","114.5"
"","Emanuel Miller","Chi","*","F","25.7","5","6.6","17.7","0","2","0.5","7","0.571","6","0.333","0.538","0.54","3","0.6","0.8","0.4","0","0","3.6","3.8","4.4","6.8","124","116.3"
"","Chris Livingston","Cle","*","F","22.3","3","5.8","17.7","0","1","1","4","1","3","0","0.571","0.605","3","1","0.3","0.3","0","0","4","3.3","4.3","6.7","129.1","91.4"
"","Antonio Reeves","Cha","*","G","23.2","7","8","12.1","0","0","0","6","0.5","10","0.5","0.656","0.656","3","0.7","0.3","0.1","0","0","3.7","3.3","4","4.3","140.8","115.5"
"","Monte Morris","Ind","*","G","30.6","6","10.8","15.6","9","4","0.5","12","0.417","8","0.25","0.4","0.414","3","1.2","1.5","0.2","0.2","0.3","4.2","4.5","5.7","6.5","96.6","118.7"
"","Joan Beringer","Min","*","F","19.3","27","6.7","16.2","12.4","13","0.615","56","0.661","0","0","0.661","0.664","3","2","0.3","0.1","0.4","0.3","5","3.3","5.3","7.3","136","102"
"","Riley Minix","San","*","F","25.4","3","2.8","30.4","0","0","0","3","1","3","0.333","0.75","0.75","3","0.7","0.3","0.3","0","0","3.7","3.3","4","12.2","0","0"
"","Tyus Jones","Orl","","G","29.8","48","15.7","9.8","8.1","6","1","56","0.429","102","0.294","0.437","0.448","3","1.1","2.4","0.7","0.1","0.3","4.1","5.4","6.5","5.1","113.6","116.5"
"","Dorian Finney-Smith","Hou","*","F","32.8","20","15.8","10.6","14","5","1","14","0.5","53","0.245","0.396","0.419","2.9","2.4","0.8","0.4","0.2","0.6","5.3","3.7","6","4.5","99.7","107.5"
"","Kevon Looney","Nor","*","F","30","18","13.9","10.6","13.3","8","0.625","43","0.512","9","0.111","0.452","0.468","2.9","5.3","1.4","0.3","0.5","0.4","8.2","4.3","9.6","8","126.4","107.3"
"","Pat Connaughton","Cha","*","G","33.1","22","7.1","14.6","6.2","13","0.615","18","0.611","27","0.407","0.611","0.621","2.9","1.4","0.6","0.2","0","0.1","4.2","3.5","4.9","7.6","134.9","114.7"
"","Duop Reath","Por","*","C","29.6","32","8.1","13.1","8.6","6","0.833","19","0.526","55","0.418","0.601","0.613","2.9","1.2","0.3","0.2","0.3","0.2","4.1","3.3","4.4","5","125.1","110.4"
"","Rayan Rupert","Por","*","G-F","21.7","48","12","12.7","16","14","0.643","76","0.408","71","0.31","0.435","0.447","2.9","1.8","0.7","0.6","0","0.6","4.6","3.6","5.4","5.1","94.9","109.1"
"","Dwight Powell","Dal","*","F-C","34.6","40","13.5","8.3","25.2","62","0.645","57","0.649","2","0","0.627","0.661","2.9","3.6","1","0.5","0.3","0.5","6.4","3.8","7.4","6.5","137.8","102.8"
"","David Jones Garcia","San","*","F","24.2","11","6.2","20.2","16.5","6","0.5","20","0.5","5","0.6","0.58","0.579","2.9","1.2","1.6","0.5","0.1","0.5","4.1","4.5","5.7","11.4","123.8","102.9"
"","Kobe Brown","Lac","","F","26.1","34","8.7","16.7","15.1","26","0.808","35","0.571","49","0.265","0.47","0.524","2.9","1.6","0.8","0.3","0.1","0.4","4.5","3.7","5.3","7.1","112.2","115"
"","Chris Paul","Lac","*","G","40.8","16","14.2","14.3","22.2","2","0.5","26","0.308","30","0.333","0.411","0.413","2.9","1.8","3.3","0.7","0","1","4.7","6.3","8","7.3","101.7","109.5"
"","Trey Alexander","Nor","*","G","22.8","5","8.3","10.1","10","0","0","6","0.667","3","0.667","0.778","0.778","2.8","0.8","1","0.2","0.2","0.2","3.6","3.8","4.6","6.3","148.1","114.7"
"","Miles Kelly","Dal","*","G","23","12","8.5","15.2","10.8","0","0","7","0.714","26","0.308","0.515","0.515","2.8","1.6","0.7","0.3","0","0.3","4.4","3.5","5.1","6.9","105.4","106.7"
"","Julian Phillips","Chi","","F","22.3","35","9.5","12.6","7.3","11","0.818","39","0.538","49","0.327","0.511","0.533","2.8","1.3","0.2","0.5","0.2","0.2","4.1","3","4.3","3.8","114","112.3"
"","AJ Johnson","Was","","G","21.2","25","8.6","20.7","17.8","12","0.75","58","0.345","25","0.28","0.367","0.396","2.8","1.2","0.9","0.3","0","0.7","4","3.7","4.9","6.7","82.8","119.7"
