"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","John Collins","Lac","*","F-C","28.4","51","28","18.8","12.2","106","0.783","323","0.635","165","0.43","0.638","0.66","13.8","5.1","0.9","0.8","0.8","1.3","18.9","14.8","19.9","5.7","123.4","109.9"
"","Nikola Vucevic","Bos","*","C","35.3","3","25.9","24.2","19.4","6","0.667","21","0.524","12","0.417","0.561","0.575","13.7","9.7","2.3","1","1","2.7","23.3","16","25.7","10.4","112","101.8"
"","Zach Edey","Mem","*","C","23.8","11","25.8","20.2","20.9","32","0.781","93","0.656","5","0.2","0.638","0.669","13.6","11.1","1.1","0.6","1.9","2.4","24.7","14.7","25.8","8.5","120.4","101.4"
"","Aaron Nesmith","Ind","*","G-F","26.3","32","30.5","19.7","11","86","0.814","165","0.412","205","0.371","0.492","0.532","13.6","4.8","2.1","0.7","0.6","1.4","18.3","15.7","20.4","6.8","106.9","113.2"
"","Sam Merrill","Cle","*","G","29.7","31","25.3","17.5","9.2","41","0.878","54","0.537","231","0.472","0.675","0.695","13.6","2.3","2.3","0.6","0.2","0.9","15.9","15.8","18.1","6.6","134.2","110.7"
"","Keldon Johnson","San","*","F-G","26.3","54","23.9","20.2","9.5","139","0.791","334","0.635","171","0.38","0.613","0.644","13.5","5.9","1.4","0.7","0.1","1","19.4","14.9","20.8","8.1","129.3","105.7"
"","Tobias Harris","Det","*","F","33.6","37","27.9","19.1","9.2","99","0.879","246","0.516","147","0.354","0.522","0.569","13.4","4.9","2.3","0.9","0.2","1.1","18.3","15.8","20.6","7.6","119.9","108.2"
"","Collin Gillespie","Pho","*","G","26.6","54","28.3","19.1","13.2","65","0.846","191","0.455","385","0.423","0.576","0.594","13.3","4.2","4.7","1.4","0.2","1.6","17.5","18","22.1","9.1","123","113.1"
"","Max Christie","Dal","*","G","23","50","29.7","16.5","10","99","0.869","197","0.528","289","0.426","0.594","0.626","13.3","3.4","2.3","0.6","0.4","1.1","16.7","15.5","18.9","6.3","119.9","114.6"
"","Cedric Coward","Mem","*","G","22.4","48","26.3","20.8","14.4","121","0.843","289","0.561","209","0.34","0.539","0.58","13.3","6.2","2.9","0.6","0.4","1.8","19.5","16.2","22.5","9.4","114.1","110.7"
"","Bobby Portis","Mil","*","F","31","51","24.3","22.6","8.8","47","0.723","344","0.503","215","0.451","0.57","0.579","13.2","6.6","1.6","0.6","0.2","1.1","19.7","14.8","21.4","8.5","114","111.9"
"","Jeremiah Fears","Nor","*","G","19.3","56","25.6","24.6","15.7","145","0.814","476","0.468","182","0.324","0.473","0.513","13.2","3.7","3.1","1.3","0.3","2.2","16.9","16.3","20","8.3","100.7","115.4"
"","Deandre Ayton","Lal","*","C","27.6","46","28.2","17.1","13.3","82","0.646","412","0.675","0","0","0.675","0.68","13.2","8.5","0.9","0.6","1","1.4","21.7","14.1","22.6","6.6","129.2","109.9"
"","Toumani Camara","Por","*","F","25.8","56","33.5","16","15.8","94","0.702","197","0.584","395","0.37","0.564","0.579","13.1","5.4","2.6","1","0.4","2","18.5","15.7","21","6.8","113.9","111.3"
"","Jock Landale","Atl","*","C","30.3","4","21.6","16.7","9.6","8","0.5","14","0.857","14","0.571","0.857","0.825","13","5","1.5","0.3","1","0.8","18","14.5","19.5","8.5","154","112.7"
"","Noah Clowney","Bro","*","F-C","21.6","47","28.4","20.7","14.7","173","0.798","173","0.514","304","0.322","0.495","0.551","13","4.3","1.8","0.7","0.8","1.7","17.2","14.8","19","6.6","107.1","112.1"
"","Kyle Kuzma","Mil","*","F","30.6","50","26.8","21.5","13.8","150","0.733","353","0.55","152","0.322","0.53","0.565","12.9","5","2.5","0.6","0.4","1.6","17.9","15.4","20.4","8.1","110.4","113"
"","Tre Johnson","Was","*","G","19.9","40","25","21.2","11.7","67","0.896","203","0.498","220","0.386","0.54","0.571","12.9","2.7","2.2","0.7","0.3","1.4","15.7","15.1","17.8","6.8","111.1","120.4"
"","Miles McBride","Nyk","*","G","25.4","35","28","17.6","7.2","43","0.814","119","0.462","243","0.42","0.575","0.592","12.9","2.6","2.8","0.9","0.2","0.8","15.5","15.7","18.2","6.5","125.4","112.6"
"","Donte DiVincenzo","Min","*","G","29","56","31.2","17","12.5","81","0.753","141","0.504","447","0.383","0.557","0.574","12.8","4.5","4.2","1.4","0.4","1.5","17.3","17","21.4","8","118.9","108.7"
"","Dennis Schroder","Sac","","G","32.4","40","26.4","22.6","15.8","133","0.82","256","0.449","166","0.343","0.475","0.531","12.8","3.1","5.3","0.8","0.2","2","15.8","18","21.1","9","109.7","119.4"
"","Ousmane Dieng","Mil","*","F","22.7","3","21.4","18.5","0","4","0.5","9","0.667","16","0.5","0.72","0.71","12.7","5","2","0.7","1.3","0","17.7","14.7","19.7","9.4","145.6","108.3"
"","Brandon Williams","Dal","*","G","26.2","46","22","25.5","16.7","183","0.781","331","0.55","113","0.221","0.494","0.555","12.7","2.9","3.7","1","0.2","1.9","15.5","16.3","19.2","9.4","108.6","110.5"
"","Myles Turner","Mil","*","C-F","29.9","50","28.6","18.6","10.7","135","0.756","204","0.515","279","0.387","0.553","0.586","12.7","5.7","1.6","0.7","1.7","1.2","18.4","14.3","20","6.8","116","110.8"
"","Quentin Grimes","Phi","*","G","25.8","48","29.9","17.9","16.7","149","0.859","194","0.567","255","0.341","0.536","0.592","12.7","3.8","3.6","0.9","0.4","1.9","16.4","16.3","20.1","7.5","116.1","113.3"
"","Reed Sheppard","Hou","*","G","21.6","53","24.7","21.7","10.7","58","0.776","254","0.476","331","0.387","0.535","0.55","12.7","2.6","3","1.4","0.6","1.3","15.2","15.7","18.2","7.5","116.7","108.5"
"","Bennedict Mathurin","Lac","*","G-F","23.7","2","28.5","22.6","4.1","11","0.909","18","0.333","5","0.2","0.326","0.449","12.5","5","3.5","3","0.5","0.5","17.5","16","21","8.5","111.9","106.8"
"","Brice Sensabaugh","Uta","*","F","22.3","53","21.9","22.5","11.2","126","0.849","235","0.574","278","0.345","0.544","0.585","12.5","2.9","1.5","0.7","0.1","1.2","15.5","14.1","17","6.9","112.5","118.1"
"","Nic Claxton","Bro","*","C","26.8","50","29.3","17.4","13.9","183","0.607","420","0.602","14","0.214","0.593","0.608","12.5","7.3","4","0.7","1.3","1.4","19.8","16.5","23.8","9.8","128.2","112.7"
"","Malik Monk","Sac","*","G","28","43","22.2","23.7","12.4","73","0.877","227","0.445","209","0.426","0.538","0.569","12.4","2","2.6","0.7","0.4","1.4","14.4","15","17","7.2","109.7","119"
"","Tre Jones","Chi","*","G","26.1","38","26.9","17.1","14.7","138","0.848","238","0.609","64","0.328","0.584","0.648","12.4","3","5.8","1.3","0.2","1.4","15.3","18.2","21.2","8.9","134.4","117.1"
"","Duncan Robinson","Det","*","F","31.8","51","28.2","15.7","7","73","0.74","106","0.585","372","0.401","0.597","0.613","12.3","2.7","1.9","0.6","0.3","0.7","14.9","14.1","16.8","5.6","125.7","109.2"
"","Josh Hart","Nyk","*","G","30.9","43","30.6","16.6","17.9","85","0.741","227","0.564","167","0.407","0.584","0.606","12.2","7.6","5.2","1.2","0.3","2","19.8","17.4","25","10.3","123.3","105.9"
"","Derik Queen","Nor","*","C","21.1","55","26","21.5","20","179","0.777","473","0.516","54","0.278","0.506","0.555","12.2","7.2","4.2","1","0.9","2.4","19.4","16.4","23.6","11","109.8","108.5"
"","Tari Eason","Hou","*","F","24.8","31","25.4","20.2","13.1","35","0.657","167","0.443","150","0.46","0.56","0.569","12.2","6.1","1.5","1.3","0.5","1.5","18.3","13.6","19.7","7.6","115","105.5"
"","Mark Williams","Pho","*","C","24.2","50","24","17.1","12.6","152","0.77","366","0.664","1","1","0.666","0.698","12.1","8.1","1.1","1","0.9","1.1","20.2","13.2","21.3","7.9","140.1","105.5"
"","Jaylen Wells","Mem","*","F","22.5","52","26.8","19.1","10","136","0.765","254","0.496","269","0.338","0.502","0.54","12.1","3.4","1.7","0.8","0.1","1.1","15.5","13.8","17.2","6.1","109.4","112.5"
"","Rui Hachimura","Lal","*","F","28","44","29.9","15.4","7.7","49","0.735","230","0.561","179","0.447","0.609","0.62","12.1","3.5","0.9","0.5","0.3","0.8","15.7","13","16.5","4.5","119.6","116.6"
"","Jonathan Kuminga","Gol","*","F","23.4","20","23.8","23.9","19.1","66","0.742","141","0.504","53","0.321","0.497","0.543","12.1","5.9","2.5","0.4","0.3","2.3","18","14.6","20.5","9.5","103.5","110.1"
"","Brandin Podziemski","Gol","*","G","23","55","26.9","19","13.6","133","0.767","276","0.518","246","0.37","0.535","0.569","12","4.6","3.5","1.1","0.2","1.5","16.6","15.5","20.1","8.6","115.1","110.2"
"","De'Anthony Melton","Gol","*","G","27.7","28","21.8","24.5","14.8","66","0.818","144","0.542","132","0.295","0.495","0.536","11.7","2.8","2.4","1.5","0.4","1.7","14.5","14","16.8","7.9","103.4","106.1"
"","Ace Bailey","Uta","*","F","19.5","49","26.3","19.3","10.8","48","0.708","303","0.528","215","0.34","0.52","0.531","11.7","3.9","1.7","0.8","0.5","1.3","15.6","13.4","17.3","6.5","106.4","117.3"
"","Donovan Clingan","Por","*","C","22","52","27.6","15.6","11","129","0.674","284","0.641","159","0.321","0.584","0.604","11.6","11.5","2.1","0.5","1.4","1.1","23.1","13.7","25.2","9.5","134.4","108.6"
"","Klay Thompson","Dal","*","G","36","49","22.1","22.5","8.5","37","0.73","143","0.42","373","0.375","0.523","0.533","11.6","2.4","1.4","0.5","0.3","1","14","12.9","15.4","6.1","102.6","114.9"
"","Cam Spencer","Mem","*","G","25.9","51","24.1","17.8","15.7","101","0.931","161","0.522","246","0.447","0.612","0.656","11.6","2.7","5.6","0.7","0.1","1.5","14.3","17.2","19.9","9.3","131.6","114.8"
"","Dyson Daniels","Atl","*","G","22.9","53","33.6","16.3","15.9","91","0.615","475","0.556","75","0.133","0.507","0.52","11.6","6.4","6.2","1.8","0.4","2","18","17.8","24.2","9.2","114.8","113.1"
"","Wendell Carter Jr.","Orl","*","C-F","26.8","51","29.5","15.5","12.5","145","0.793","255","0.6","172","0.331","0.559","0.603","11.6","7.4","2.1","0.8","0.7","1.2","19","13.7","21","7.7","124.1","104.7"
"","Jaden Ivey","Chi","*","G","24","4","28.9","16.8","14.2","9","0.889","15","0.467","21","0.381","0.528","0.576","11.5","4.8","4","2","0.5","1.5","16.3","15.5","20.3","8.4","119.3","112.1"
"","Moses Moody","Gol","*","G","23.7","53","25.1","17.7","9.1","95","0.779","152","0.513","317","0.401","0.572","0.598","11.5","3.3","1.5","1","0.6","0.9","14.8","13","16.3","6.1","117.8","110.7"
"","Cameron Johnson","Den","*","F","29.9","31","30.4","14.9","9.5","58","0.81","131","0.504","135","0.437","0.581","0.611","11.5","3.6","2.2","0.7","0.3","0.9","15.1","13.7","17.3","5.9","122.5","114.4"
"","Sandro Mamukelashvili","Tor","*","F-C","26.7","53","22.6","18.5","9.9","106","0.764","231","0.645","196","0.383","0.612","0.638","11.4","5.1","1.9","0.8","0.6","0.9","16.5","13.3","18.4","8.5","128.1","107.5"
"","Caleb Love","Por","*","G","24.4","45","22.2","23","11.3","49","0.735","195","0.492","290","0.321","0.486","0.5","11.3","2.5","2.7","0.6","0.1","1.4","13.8","14","16.5","7.6","106.1","117.2"
"","Jock Landale","Mem","","C","30.3","45","23.6","18.5","10.6","89","0.674","260","0.581","129","0.38","0.577","0.594","11.3","6.5","1.7","0.6","0.5","1","17.8","13","19.5","8.5","125.5","109.5"
"","Kel'el Ware","Mia","*","C","21.8","52","22.4","18.1","9.4","72","0.792","295","0.597","149","0.403","0.599","0.619","11.3","9.2","0.6","0.8","1","0.9","20.6","11.9","21.1","7.1","126.6","104.7"
"","Jalen Green","Pho","*","G","24","7","15.2","32.4","13.1","13","0.846","29","0.483","37","0.351","0.508","0.544","11.1","2.1","2.3","0.4","0","1.4","13.3","13.4","15.6","9.9","108.7","115.8"
"","Julian Champagnie","San","*","F","24.6","54","27.9","15.4","10.2","104","0.846","105","0.6","350","0.369","0.564","0.6","11.1","5.9","1.4","0.8","0.4","1","17.1","12.6","18.5","6.5","119.5","108.6"
"","Blake Hinson","Uta","*","F","26.1","1","24.8","13.3","12.5","0","0","1","1","6","0.5","0.786","0.786","11","1","1","0","0","1","12","12","13","3.6","126.5","109"
"","Jaden Hardy","Was","*","G","23.6","1","14.5","25.5","11.8","2","1","2","0","5","0.6","0.643","0.698","11","2","1","0","0","1","13","12","14","7.7","126.5","128.2"
"","Rob Dillingham","Chi","*","G","21.1","3","24.6","22.3","19.2","7","0.857","23","0.522","6","0.167","0.466","0.514","11","3.7","4","2","0","2.3","14.7","15","18.7","8.9","101.9","110"
"","Rudy Gobert","Min","*","C","33.6","54","31.3","12.7","17.1","221","0.502","341","0.707","2","0","0.703","0.673","11","11.1","1.7","0.7","1.6","1.3","22.1","12.6","23.8","7.6","136.1","105.8"
"","Dylan Harper","San","*","G","20","43","21.7","22.5","12.5","84","0.75","298","0.544","107","0.252","0.5","0.529","10.9","3.4","3.7","0.8","0.3","1.3","14.3","14.6","17.9","9.5","111.3","106.4"
"","Jusuf Nurkic","Uta","*","C","31.5","41","26.4","19.4","22","113","0.549","287","0.54","71","0.352","0.538","0.548","10.9","10.4","4.8","1.3","0.5","2.5","21.3","15.7","26","12.4","110.9","107.1"
"","Kevin Huerter","Chi","","G-F","27.5","44","23.6","19.4","10.8","56","0.732","181","0.63","223","0.314","0.542","0.559","10.9","3.8","2.6","0.8","0.6","1.1","14.7","13.5","17.4","8.1","111","113.2"
"","Guerschon Yabusele","Chi","*","F","30.2","4","26.8","16.9","7.1","2","0.5","15","0.4","24","0.417","0.538","0.539","10.8","4.3","1.5","1","0.5","0.8","15","12.3","16.5","6.1","110.4","111.6"
"","Egor Demin","Bro","*","G","20","46","25","19.4","16.8","58","0.862","113","0.434","293","0.396","0.549","0.575","10.8","3.1","3.3","0.8","0.3","1.8","13.9","14.1","17.2","7.7","109.5","114.9"
"","Nick Richards","Chi","*","C","28.2","3","21.9","20.3","22.8","13","0.769","17","0.471","3","0.667","0.55","0.622","10.7","5.7","0.3","1","1.7","2","16.3","11","16.7","4.8","112.2","104.4"
"","Marvin Bagley III","Dal","*","F","26.9","3","22.9","19.4","3.8","13","0.385","23","0.522","2","0.5","0.54","0.521","10.7","8","1.3","0.7","1.3","0.3","18.7","12","20","8.4","124.4","107.9"
"","Scotty Pippen Jr.","Mem","*","G","25.3","3","20","21.9","17","6","0.833","17","0.529","7","0.429","0.563","0.601","10.7","1","4.3","2","0.7","1.7","11.7","15","16","7.2","118","95.6"
"","A.J. Green","Mil","*","G","26.4","49","30.2","13.4","9.5","34","0.794","41","0.512","350","0.431","0.633","0.643","10.7","2.6","2","0.6","0.1","0.8","13.3","12.7","15.3","5.1","121.6","115.8"
"","Harrison Barnes","San","*","F","33.7","54","27.8","14.9","10.2","95","0.842","167","0.557","272","0.375","0.56","0.595","10.6","3","2.1","0.7","0.2","0.9","13.6","12.7","15.7","5.8","121.2","112.9"
"","Aaron Wiggins","Okc","*","G","27.1","41","23.8","19.5","13.1","49","0.735","169","0.509","194","0.387","0.547","0.563","10.6","3.5","1.8","1","0.6","1.3","14","12.4","15.9","6.8","107.1","106.4"
"","Isaiah Hartenstein","Okc","*","C-F","27.8","30","25.7","17.3","23","77","0.649","206","0.65","5","0","0.635","0.649","10.6","9.7","3.6","1","0.7","2.1","20.3","14.2","23.8","11.2","128.6","97"
"","Khris Middleton","Dal","*","F","34.5","2","21.3","22.1","10.9","10","0.9","9","0.333","7","0.286","0.375","0.515","10.5","3","1.5","0","0","1","13.5","12","15","6.8","107.9","108.1"
"","Isaiah Joe","Okc","*","G","26.6","47","21.1","18","7.7","85","0.882","72","0.542","275","0.415","0.605","0.644","10.5","2.5","1.4","0.6","0.2","0.6","13","11.9","14.4","6.3","127.5","105.4"
"","Jarace Walker","Ind","*","F","22.4","54","24","20.4","15.6","118","0.78","247","0.441","236","0.364","0.493","0.531","10.5","4.5","2","0.8","0.4","1.6","15","12.5","17","7.6","99.9","113"
"","Zaccharie Risacher","Atl","*","F","20.9","42","24.2","18.4","9.5","58","0.603","201","0.537","182","0.352","0.533","0.542","10.5","3.5","1.3","0.9","0.5","1","14","11.9","15.3","6","105.6","111.9"
"","Isaiah Collier","Uta","*","G","21.3","48","25.5","18.6","24.7","152","0.691","291","0.564","75","0.293","0.538","0.576","10.4","2.6","7.4","1","0.3","2.5","13","17.8","20.4","9.2","114.9","117.2"
"","Royce O'Neale","Pho","*","F","32.7","55","29.3","14.7","15.3","28","0.679","87","0.506","379","0.406","0.59","0.595","10.3","4.8","2.9","1.2","0.3","1.5","15.2","13.3","18.1","7.1","115.5","110"
"","Khris Middleton","Was","","F","34.5","34","24.3","19.5","15.9","69","0.841","201","0.483","99","0.333","0.488","0.531","10.3","3.9","3.3","0.8","0.3","1.7","14.3","13.6","17.5","8.4","107.7","115.3"
"","D'Angelo Russell","Dal","*","G","30","26","19","26.1","17.4","60","0.717","120","0.508","112","0.295","0.476","0.511","10.2","2.3","4","0.5","0.1","1.9","12.5","14.2","16.5","9.6","101.7","113.1"
"","Bub Carrington","Was","*","G","20.6","53","28","17.5","21.4","71","0.761","185","0.416","280","0.393","0.52","0.542","10.2","3.5","4.6","0.6","0.2","2.4","13.7","14.7","18.2","7.8","103.3","119.1"
"","Jalen Smith","Chi","*","F-C","25.9","43","20.2","19.4","10.9","71","0.718","154","0.61","174","0.379","0.588","0.608","10.2","6.9","1.3","0.4","0.8","0.9","17.1","11.4","18.3","8.9","122","109.1"
"","Ausar Thompson","Det","*","G-F","23","49","25.7","17.6","15","143","0.58","383","0.522","20","0.3","0.519","0.538","10.2","6","2.7","1.9","0.8","1.4","16.2","12.9","18.9","8.5","114.4","100.5"
"","Pelle Larsson","Mia","*","G","25","45","23.9","16.3","13","116","0.767","207","0.594","126","0.333","0.559","0.6","10.2","3.3","3.3","0.6","0.2","1.1","13.6","13.5","16.9","8","122.6","109.8"
"","Corey Kispert","Atl","*","F","27","16","21.5","19","10.4","28","0.893","56","0.571","73","0.329","0.527","0.57","10.1","2.5","1.8","0.4","0.1","0.9","12.6","11.8","14.3","6.6","111.4","117.9"
"","Marvin Bagley III","Was","","F","26.9","38","19.2","19","15.2","97","0.711","227","0.643","19","0.421","0.642","0.667","10.1","5.7","1.5","0.5","0.7","1.2","15.8","11.6","17.3","9.2","131.4","113.8"
"","Luke Kennard","Lal","*","G","29.6","4","23.9","13.3","10.9","5","1","13","0.769","11","0.455","0.729","0.763","10","3","2.8","0.8","0","0.8","13","12.8","15.8","7.3","149.8","112.6"
"","Derrick Jones Jr.","Lac","*","F","29","22","24.8","14.9","10.3","40","0.775","78","0.667","70","0.4","0.635","0.661","10","2.5","1.2","0.9","1.1","0.8","12.5","11.2","13.7","5","128.7","113.3"
"","Isaiah Stewart","Det","*","F-C","24.7","48","23.2","16.3","13.9","104","0.76","233","0.639","106","0.321","0.59","0.622","10","5.1","1.1","0.3","1.7","1.1","15.1","11.1","16.3","6.6","122.4","101.6"
"","Christian Braun","Den","*","G","24.8","19","30.3","14.6","12.8","44","0.773","106","0.575","44","0.25","0.517","0.558","9.9","4.3","2.8","0.5","0.4","1.2","14.3","12.7","17.1","6.5","119.2","115.2"
"","Vit Krejci","Por","*","G","25.7","6","21.8","16.1","4","5","0.8","14","0.786","34","0.324","0.573","0.588","9.8","1.8","2","0.8","0.5","0.3","11.7","11.8","13.7","6","131.2","113.7"
"","Bilal Coulibaly","Was","*","G","21.6","33","26.8","17.2","15.7","106","0.764","158","0.487","111","0.261","0.448","0.51","9.8","4.4","2.5","1.4","0.9","1.5","14.2","12.3","16.7","7.1","104.7","114.3"
"","Maxime Raynaud","Sac","*","C","22.9","48","23.5","16.8","11.5","81","0.753","321","0.589","41","0.268","0.568","0.594","9.8","6.6","1","0.5","0.5","1","16.5","10.9","17.5","6.8","118.2","112"
"","Marcus Smart","Lal","*","G","31.9","44","28.4","16.2","17","99","0.828","141","0.511","210","0.329","0.5","0.549","9.8","3","2.9","1.2","0.4","1.6","12.8","12.8","15.7","6.2","109.1","111.5"
"","Zach Collins","Chi","*","F-C","28.2","10","18.4","19","13.5","20","0.7","43","0.651","21","0.429","0.648","0.666","9.7","5.6","1.5","0.2","0.4","1","15.3","11.2","16.8","9.4","128.4","110.7"
"","Kyle Filipowski","Uta","*","C","22.3","55","22.1","18.3","16","132","0.712","267","0.566","138","0.333","0.543","0.577","9.7","6.7","2","0.8","0.4","1.4","16.4","11.7","18.4","9.2","114.7","109.2"
"","Neemias Queta","Bos","*","C","26.6","51","25.1","14.7","14.7","112","0.67","325","0.649","5","0","0.639","0.655","9.7","8.3","1.5","0.9","1.3","1.1","18","11.3","19.5","7.9","134.8","101.7"
"","Jakob Poeltl","Tor","*","C","30.3","22","25.1","14.7","20.2","49","0.592","134","0.687","0","0","0.687","0.685","9.7","7.6","2","0.7","0.5","1.5","17.3","11.7","19.4","8.4","127.7","102.2"
"","Ziaire Williams","Bro","*","F","24.4","38","23","18.1","12.2","78","0.859","93","0.613","195","0.323","0.526","0.574","9.7","2.6","0.8","1.2","0.5","1.1","12.3","10.6","13.2","4.7","109.4","112"
"","T.J. McConnell","Ind","*","G","33.9","40","17","24.1","12.9","16","0.938","292","0.568","38","0.316","0.558","0.568","9.6","2.2","4.8","1.1","0.2","1.2","11.8","14.4","16.6","11","118.1","112.6"
"","Landry Shamet","Nyk","*","G","28.9","30","21.9","15.7","5.8","47","0.723","57","0.509","154","0.422","0.6","0.619","9.6","1.9","1.5","0.5","0.2","0.4","11.5","11.1","13","5.5","130.7","113.5"
"","Walter Clayton Jr.","Mem","*","G","22.9","2","24.9","20.7","20.5","2","1","11","0.636","8","0.125","0.447","0.478","9.5","3.5","5.5","2","0","2.5","13","15","18.5","9.1","96.4","110.4"
"","Jake LaRavia","Lal","*","F","24.3","54","26.8","15.1","14.1","115","0.765","202","0.594","187","0.326","0.544","0.581","9.5","4","1.9","1.3","0.5","1.2","13.5","11.4","15.4","6.2","118.3","111.3"
"","Jared McCain","Okc","*","G","22","4","18.5","22","17","6","0.833","15","0.467","14","0.429","0.552","0.585","9.3","3","1","0.5","0","1.5","12.3","10.3","13.3","6.6","106.7","106.8"
"","Moritz Wagner","Orl","*","F-C","28.8","13","12","27","9.1","26","0.885","47","0.553","33","0.455","0.606","0.656","9.2","3.2","0.5","0.5","0.1","0.6","12.5","9.8","13","8.2","125.7","99.9"
"","Corey Kispert","Was","","F","27","19","19.5","16.7","10.5","34","0.765","43","0.674","76","0.395","0.622","0.649","9.2","2.3","1.7","0.4","0.2","0.7","11.5","10.8","13.2","6.8","126.8","122.2"
"","Cam Whitmore","Was","*","F","21.6","21","16.9","23.6","9.6","31","0.742","113","0.54","56","0.286","0.503","0.528","9.2","2.8","0.7","0.7","0.4","0.9","12","9.9","12.7","6.2","105","119"
"","Jordan Miller","Lac","*","G","26.1","33","19.7","19.1","16.2","89","0.787","131","0.595","70","0.357","0.575","0.627","9.1","3.2","1.6","0.7","0.2","1.2","12.3","10.8","14","7.3","121.2","115.4"
"","Jonas Valanciunas","Den","*","C","33.8","43","14.6","25.6","16","96","0.76","254","0.598","18","0.278","0.586","0.624","9.1","5.2","1.3","0.2","0.7","1.2","14.3","10.4","15.6","10.8","121.4","101.4"
"","Sam Hauser","Bos","*","F","28.2","51","24.1","14.9","6.5","12","0.917","54","0.519","337","0.392","0.578","0.584","9.1","3.8","1.4","0.6","0.3","0.5","12.8","10.5","14.2","6","124.2","112.1"
"","Jordan Clarkson","Nyk","*","G","33.7","51","18.9","21.3","11.7","72","0.792","215","0.516","186","0.333","0.509","0.537","9.1","1.7","1.3","0.4","0.2","1","10.9","10.4","12.2","5.8","109.1","110.3"
"","MarJon Beauchamp","Phi","*","F","25.3","2","18.1","22","17.3","4","0.75","7","0.429","7","0.429","0.536","0.571","9","3.5","2.5","1.5","0.5","1.5","12.5","11.5","15","9.5","110.7","116"
"","Kyle Anderson","Mem","*","F-G","32.4","3","23.7","13.5","28.2","5","0.6","15","0.8","0","0","0.8","0.785","9","4.3","1","1.7","1.3","2","13.3","10","14.3","5.7","113.7","100.6"
"","Taylor Hendricks","Mem","*","F","22.2","4","21.7","19.7","10.7","10","0.5","17","0.471","16","0.313","0.47","0.481","9","4.5","1.3","1.3","0","1","13.5","10.3","14.8","6.9","97.6","102.2"
"","GG Jackson","Mem","*","F","21.2","33","18.7","19.3","12.6","58","0.741","127","0.606","101","0.327","0.555","0.584","9","3.6","1.2","0.7","0.6","1","12.6","10.2","13.8","7.2","111.1","109.3"
"","Vit Krejci","Atl","","G","25.7","46","22.3","14.4","8.8","36","0.75","70","0.6","239","0.423","0.626","0.637","9","2.1","1.5","0.8","0.3","0.7","11.1","10.5","12.6","5.5","120.7","111.4"
"","Svi Mykhailiuk","Uta","*","G-F","28.7","45","23.8","14.1","10.7","25","0.92","112","0.625","204","0.397","0.606","0.621","9","2.5","1.9","0.5","0.1","0.8","11.6","10.9","13.4","5.9","120.3","122.5"
"","Davion Mitchell","Mia","*","G","27.4","46","28.9","13.6","17.7","54","0.648","211","0.512","137","0.401","0.547","0.56","9","2.5","7","1.1","0.1","1.6","11.5","16.1","18.5","7.5","119.4","108.4"
"","Herbert Jones","Nor","*","F","27.4","33","28.8","15","13.7","40","0.775","134","0.485","144","0.306","0.471","0.496","8.9","3.6","2.6","1.6","0.5","1.3","12.5","11.5","15.1","6.1","103.4","111.6"
"","Isaac Okoro","Chi","*","F-G","25","46","26","13.5","8.5","76","0.789","174","0.586","147","0.327","0.542","0.576","8.9","2.7","1.5","0.7","0.5","0.7","11.5","10.4","13.1","5.1","119.9","114.4"
"","Jordan Goodwin","Pho","*","G","27.3","52","22.2","18.2","10.8","41","0.707","199","0.467","228","0.351","0.499","0.511","8.8","4.7","2.3","1.5","0.2","1","13.5","11","15.7","8.2","114.4","108.1"
"","Jay Huff","Ind","*","C","28.5","55","20","17.1","10.3","58","0.845","137","0.737","238","0.315","0.569","0.594","8.7","3.8","1.3","0.6","1.9","0.8","12.5","9.9","13.8","7","116.8","107.9"
"","Simone Fontecchio","Mia","*","F","30.2","53","17.6","19.9","9.9","83","0.831","115","0.47","266","0.357","0.516","0.553","8.7","3.3","1.5","0.5","0.2","0.8","12","10.3","13.6","8","113.6","107.5"
"","Luguentz Dort","Okc","*","G","26.8","45","27.7","13.8","9.4","36","0.778","101","0.515","246","0.35","0.522","0.537","8.7","3.8","1.2","0.9","0.5","0.8","12.5","9.9","13.7","4.9","109","102.5"
"","Tristan da Silva","Orl","*","F","24.8","48","22.3","16.5","9.9","38","0.842","174","0.494","189","0.365","0.522","0.541","8.6","3.3","1.2","0.9","0.3","0.8","11.8","9.8","13","5.8","107.6","112.6"
"","Draymond Green","Gol","*","F","35.9","46","26.7","17.1","27","58","0.707","129","0.566","214","0.327","0.519","0.539","8.6","5.8","5.2","0.8","0.6","2.8","14.4","13.8","19.5","9.6","102.3","104.1"
"","Dominick Barlow","Phi","*","F","22.7","43","24","13.5","11.8","74","0.77","200","0.64","62","0.29","0.592","0.623","8.5","5","1.2","1","0.6","0.8","13.5","9.7","14.7","6.2","130.4","110.8"
"","Day'Ron Sharpe","Bro","*","C","24.3","51","18.5","19.2","22.9","134","0.679","243","0.663","32","0.219","0.624","0.65","8.5","6.7","2.3","1.1","0.4","1.6","15.3","10.8","17.5","11","125.7","103.9"
"","Danny Wolf","Bro","*","F","21.8","39","20.2","19.9","12.5","56","0.786","156","0.474","138","0.326","0.481","0.513","8.4","4.7","2","0.6","0.5","1.1","13.1","10.4","15.1","8.5","107.2","110.1"
